2707,2416,2559,2512,2707,2511,2707,2707,2594,2707,2707,2562,2707,2560,2707,2707,2416,2707,2594,2707,2610,2511,2707,2416,2416,2511,2594,2707,2707,2416,2512,2560,2707,2707,2707,2561,2707,2707,2562,2707,2707,2707,2707,2707,2512,2512,2707,2594,2561,2707
2606,2361,2512,2561,2707,2487,2707,2623,2411,2361,2361,2417,2368,2655,2487,2487,2361,3000,2305,2417,2368,2361,2707,2561,2411,2305,2613,2561,2459,2487,2361,2417,2411,2459,2305,2417,2411,2655,2487,2361,2595,2512,2368,2305,2707,2606,2707,2411,2606,2707
2455,2515,2368,2590,2411,2361,2609,2318,2238,2361,2459,2318,2607,2397,2556,2397,2397,2368,2334,2318,2361,2334,2459,2334,2238,2334,2334,2238,2334,2710,2543,2543,2334,2238,2309,2412,2309,2459,2412,2397,2459,2512,2605,2459,2397,2411,2309,2361,2361,2334
2158,2461,2158,2396,2279,2463,2281,2361,2279,2197,2361,2197,2364,2318,2253,2396,2281,2197,2462,2253,2216,2329,2341,2329,2253,2318,2253,2461,2279,2364,2361,2509,2396,2253,2608,2216,2606,2318,2361,2341,2281,2216,2318,2253,2396,2253,2396,2197,2329,2279
2120,2238,2295,2238,2494,2357,2367,2183,2302,2211,2256,2309,2309,2238,2345,2178,2365,2315,2211,2238,2338,2315,2314,2269,2314,2367,2178,2238,2485,2211,2120,2256,2120,2309,2120,2256,2120,2238,2362,2302,2238,2178,2338,2238,2315,2309,2530,2269,2120,2238
2084,2396,2259,2259,2259,2259,2259,2240,2158,2084,2006,2158,2084,2303,2259,2303,2344,2169,2166,2259,2223,2084,1981,2259,2223,2259,2240,2166,2216,2084,2231,2166,2231,2259,2362,1981,2362,2006,2223,2158,2212,2172,2312,2216,2259,2166,2259,1981,2270,2259
2120,2246,2100,2081,2120,2120,2120,2176,2120,2120,2120,2120,2120,2120,2122,2122,2120,2120,2081,2310,2100,1721,2120,2120,2200,2182,2120,2310,2120,2120,2120,2176,2173,2081,2261,2120,2081,2120,2120,2120,2120,2120,2120,2120,2120,2120,1721,2120,2120,2173
1960,2218,1960,2120,1913,2104,2259,1913,2275,2140,2006,2142,1913,2140,1953,2250,2051,2104,2140,2206,2259,2259,2070,2216,2051,2142,2070,1913,2218,1953,2006,2070,1913,1913,1960,2187,2140,2104,2120,2006,2070,1913,2140,2104,2250,2242,2259,2006,1953,2070
2200,2071,2071,2120,2071,2071,1721,2074,2071,2095,1721,2006,1852,2183,1721,2071,2006,2200,2067,1721,1721,2200,2071,2071,2070,1721,2071,1948,2119,2006,1976,2120,2120,1721,2095,2071,1976,1721,1721,1721,2074,2071,1721,2074,2006,1721,2070,1721,1721,2095
1720,1864,1720,1864,1960,1485,1720,1928,1913,1913,1870,1913,1864,1870,1870,1821,1485,1774,1987,1737,1720,2038,1913,1913,1774,1821,1485,1928,1987,1485,2140,2140,1870,1913,1913,1737,1913,1913,1913,1720,1870,1913,1913,1913,1913,1737,1820,1864,1820,1870
1721,2110,1923,1721,2015,2071,1796,1722,1917,1391,1391,1725,1921,1796,1721,1721,2062,1722,2063,2005,1721,2067,1391,2062,2071,1725,1722,2071,2071,2071,1923,1796,1391,1721,1391,2022,1391,2017,1725,1905,2017,1391,1905,2071,1391,1921,2022,2017,2071,1391
1825,1626,1913,2001,2120,1971,1737,1737,1913,1737,1913,1870,2003,1737,2120,1668,1913,2113,1668,1668,2140,1913,1580,1913,1668,1737,1668,1913,1913,1987,1668,1668,1913,1913,2083,1668,1913,1913,2120,1580,1737,1668,1870,2081,2001,1668,1913,1737,1913,2050
1530,1842,1752,1772,1391,1772,1391,1933,1821,1391,2013,1796,1893,1752,1391,1721,1818,2022,1893,2020,1893,2071,1818,1391,1933,1893,1933,1391,2022,1530,1625,1796,1721,1391,1391,1900,1530,1391,1823,1391,1818,1757,1752,1971,2013,1391,1625,1757,1391,1757
1737,1637,1805,1580,1805,1948,1580,1928,2047,1737,1488,1737,1802,1594,1828,1676,1580,1580,1805,1488,1580,1580,1737,1907,1805,1881,1802,1775,1580,1580,1580,1737,1737,1668,1580,1953,1594,2030,1805,1580,1668,2069,1488,1580,1775,1737,1580,2047,1676,1488
1640,1623,1752,1757,1640,1623,1581,1752,1752,1581,1640,1581,1752,1757,1640,1623,1752,1673,1757,1623,1757,1665,1893,1640,1752,1665,1665,1581,1752,1893,1893,1665,1821,1673,1625,1665,1625,1684,1752,1625,1943,1893,1673,1581,1757,1817,1817,1623,1893,1927
1850,1560,1805,1560,1778,1663,1560,1805,1580,1580,1805,1580,1560,1805,1580,1580,1805,1963,1778,1698,1580,1963,1580,1560,1753,1580,1733,1805,2005,1827,1580,1580,1805,1733,1805,1560,1560,1963,1733,1663,1805,1580,1580,1805,1805,1580,1580,1580,1580,1580
1735,1752,1710,1665,1636,1752,1735,1710,1710,1616,1616,1735,1665,1703,1752,1703,1735,1636,1703,1857,1616,1735,1826,1710,1665,1752,1735,1710,1636,1616,1823,1735,1735,1636,1752,1735,1665,1752,1752,1735,1752,1703,1752,1703,1616,1636,1703,1735,1703,1826
1560,1740,1670,1560,1560,1560,1560,1560,1560,1881,1560,1560,1560,1560,1560,1560,1560,1560,1976,1560,1560,1805,1560,1560,2005,1560,1685,1560,1805,1560,1738,1882,1881,1612,1787,1560,1560,1805,1560,1882,1560,1881,1560,1560,1916,1560,1560,1881,1560,1612
