2699,2581,2699,2699,2699,2699,2417,2699,2165,2699,2699,2699,2417,2699,2699,2699,2699,2699,2699,2699,2699,2699,2417,2699,2699,2497,2699,2699,2699,2699,2699,2699,2699,2600,2699,2699,2699,2565,2699,2699,2699,2699,2699,2453,2699,2699,2581,2699,2699,2699,2594,2699,2699,2699,2699,2699,2699,2699,2589,2699,2581,2699,2699,2699,2699,2699,2581,2417,2376,2699,2637,2417,2600,2699,2600,2699,2699,2637,2699,2699,2453,2699,2699,2699,2699,2699,2699,2497,2581,2699,2699,2441,2589,2699,2699,2699,2699,2165,2699,2699
2549,2468,2600,2600,2426,2600,2425,2699,2600,2600,2600,2600,2600,2425,2460,2600,2600,2600,2600,2600,2600,2600,2479,2549,2600,2586,2600,2600,2469,2600,2266,2600,2600,2426,2600,2549,2448,2425,1848,2600,2600,2600,2445,2468,2425,2468,2552,2468,2521,2479,2266,2445,2231,2460,2586,2600,2600,2409,2600,2468,2600,2600,2600,2468,2600,2511,2600,2552,2425,2549,2600,2460,2600,2600,2558,2572,2380,2381,2610,2521,2600,2552,2600,2511,2460,2600,2552,2448,2521,2600,2552,2600,2600,2479,2468,2460,2600,1848,2600,2468
2441,2337,2594,2130,2165,2543,2165,2699,2089,2073,2699,2549,2314,2386,2699,2639,2314,2563,1993,2427,2417,1860,2381,2549,2600,1993,2699,2549,1871,2417,2346,2369,2381,2410,2441,2589,2420,2444,2594,2314,2539,2442,2337,1860,2491,2540,2549,2417,2568,2441,2165,2417,1871,2130,2543,2427,2603,2008,2165,2346,2165,2566,2431,2346,1871,2417,2420,2461,2309,2417,2442,2314,2699,2497,2479,2243,2309,2579,2337,2600,2699,2699,2675,2226,2165,2603,2699,2314,2089,2427,2543,2699,2675,2699,2369,2008,2442,2699,2410,2130
2346,2243,2314,2425,1848,2203,2105,2231,2442,2020,1848,2213,2266,2381,2467,2213,2425,1848,2425,2445,2346,2381,1848,2314,2346,2346,2020,2479,2258,2213,2412,2258,2334,2381,2020,2352,2346,2549,2443,2425,2202,2020,2412,2549,2511,2521,2213,2346,2334,2213,2203,2276,2436,2258,2282,2314,1848,2258,2305,2410,2266,2358,2105,2346,2314,1848,2442,1848,2231,2359,2381,2314,2608,2020,2442,2203,1848,2474,2211,2425,2203,2431,2457,2425,2020,2334,2346,2394,2410,2575,2483,2526,2334,2457,2400,2558,2256,2213,2749,1848
1993,1871,2336,2165,2130,1993,1860,2337,2337,2549,2490,2359,2260,2314,1860,2346,1871,1993,2380,1860,1871,1993,2226,1871,1993,2346,2151,1871,2446,2490,2165,2243,2151,2335,2337,1860,2008,2324,1871,2089,2314,2251,2427,2337,2653,2346,1871,1871,2260,2165,2089,2410,2410,2300,2165,2008,2484,2165,2335,2165,2346,1969,2337,1993,2540,2306,1993,2130,1860,2165,1993,2334,2314,2226,2400,2381,2335,2583,2089,2130,2165,2165,1871,1871,2314,2314,2335,1860,1871,2335,2377,1871,1860,1993,2008,2335,1871,2226,2089,1993
1848,1848,2387,2276,2425,2258,1848,2258,2213,1848,2231,1848,2314,2376,2288,1848,2366,1848,2020,2366,2195,2335,2020,2159,2276,1937,2183,2033,2057,2213,1848,2282,2222,2213,2314,2183,2208,2258,2258,2280,2020,2204,1848,2335,1848,2278,2254,2195,2346,1848,2346,2352,2020,2330,1937,1848,2635,1848,1848,2084,2346,2314,2057,2331,2280,2213,2115,2335,1848,2324,2358,1848,2490,2084,2159,2258,2213,1848,2213,2020,2345,1848,2258,2334,2258,2020,2335,2280,1848,1848,2020,2208,2020,2208,2282,1848,2278,1848,1848,2254
2182,1871,2124,1993,1871,1860,2242,1871,1860,2195,2290,1860,1745,1871,1871,1860,2124,1871,2453,1993,1860,1860,2251,1871,2151,2354,1871,1860,1871,1860,1860,2346,2234,1871,1871,2089,1871,1964,2631,1860,1993,2089,2226,2171,2182,2251,1871,1860,2195,1871,1860,2559,1871,1871,1985,2089,1860,1871,2089,1871,1871,2044,1860,2171,2124,1871,1871,1871,1871,1860,2175,1860,2171,1860,2251,2242,1860,1871,1993,2182,1871,2008,1745,1860,1871,1871,1871,1860,2114,1871,2124,2242,1871,2357,2175,1860,2188,1871,1871,1860
2020,1848,1848,1848,1848,1848,2020,2258,1848,2291,1848,2020,1848,2213,1848,1848,2514,1777,1848,2020,2099,2191,2020,1848,1848,1848,1903,1848,1848,2020,1848,2278,2020,2020,1848,1777,1848,1848,2019,2020,1848,2020,1848,1848,1848,2084,1848,2234,1848,2145,2020,2093,2020,1777,1848,2115,1848,2020,1848,2084,2384,1848,1848,1848,2084,2020,2020,2020,2306,2020,1848,2093,1848,1848,2020,2020,2019,1848,1848,1848,2191,1848,2128,2084,1848,2001,2191,2020,1848,2020,2020,1848,1848,2020,2278,2020,1848,1848,1848,1848
1871,2283,1871,1871,1871,1860,1860,1993,1871,1860,1871,2543,1860,1860,1871,1871,1871,1918,1871,1860,2124,1860,1871,1871,1871,1871,1871,1860,1993,1860,1860,1871,1871,1871,1860,2311,1860,1860,1871,1745,1871,1860,1860,1871,1860,1871,2364,1871,1860,2236,1860,1871,1860,2769,1860,1860,2029,1871,1871,1871,1871,1871,1871,1871,2318,1871,1860,1860,2093,2345,1871,1745,1860,2708,1871,1745,1871,1993,1860,2495,2093,2234,1871,1745,1860,1860,2124,1871,1871,1860,1871,2444,1860,1860,1860,1871,1871,1860,1860,1860
1848,2020,2020,1848,2020,2409,2020,2456,2019,2019,2020,1848,2019,2020,1777,1848,1848,1848,1848,1848,1848,1848,1848,1848,1848,2543,2020,1848,1848,2109,1848,1848,1848,2020,2020,1848,2020,2020,1848,1979,2109,1848,2019,1848,1848,1848,1848,2109,1848,2019,1848,2209,1848,1848,1848,2020,1848,1848,1848,2020,2020,1848,2203,1848,1848,1848,2632,2290,1848,1848,2020,1848,2019,1848,1848,2696,1848,1848,1848,2020,1848,1848,2020,2020,1848,2409,1848,1848,2020,1848,1848,1979,1848,1848,1848,1848,1848,1848,1848,2020
1871,1860,1934,2131,1871,1871,1699,1871,2274,1871,1871,1871,1860,1745,1871,1860,1871,1860,1871,1871,2150,1860,1860,1860,1871,1871,1871,1871,1871,1860,2498,1860,1860,1745,1871,1871,1860,1871,1871,1860,1745,1871,2325,2351,1980,1871,1745,1745,1860,1860,1871,1871,1860,1860,1860,1745,1860,1860,1860,1871,1815,1860,2347,1871,1871,1871,1871,1871,1860,1860,1860,1745,1860,1860,1815,1871,1745,2529,1745,1871,1745,1871,1871,1745,1871,1745,1860,1871,1871,1860,2150,1860,1871,1860,1871,1871,1860,1871,1860,1871
